"Designator","Mid X","Mid Y","Layer","Rotation"
"C1",176.250000,-116.250000,top,-90.000000
"C2",181.400000,-118.000000,top,0.000000
"C3",186.337500,-129.500000,top,180.000000
"C4",178.000000,-116.250000,top,-90.000000
"C5",167.700000,-115.300000,top,180.000000
"C6",178.000000,-126.250000,top,90.000000
"C7",180.100000,-131.000000,top,-90.000000
"C8",174.500000,-116.250000,top,-90.000000
"C9",189.700000,-122.480000,top,-90.000000
"C10",190.750000,-122.480000,top,-90.000000
"C11",197.000000,-128.500000,top,-90.000000
"C12",197.450000,-117.250000,top,0.000000
"C13",196.500000,-124.250000,top,90.000000
"C14",198.250000,-123.475000,top,180.000000
"C15",205.400000,-127.025000,top,180.000000
"D1",181.800000,-115.400000,top,180.000000
"D2",209.000000,-127.950000,top,180.000000
"F1",167.700000,-119.000000,top,180.000000
"FB1",167.700000,-117.200000,top,0.000000
"J1",165.200000,-124.750000,top,-90.000000
"J2",173.200000,-131.000000,top,0.000000
"J3",216.075000,-125.000000,top,-90.000000
"L1",203.000000,-127.800000,top,90.000000
"R1",204.500000,-121.200000,top,-90.000000
"R2",203.300000,-121.200000,top,-90.000000
"R3",184.587500,-130.000000,top,-90.000000
"R4",184.600000,-115.400000,top,0.000000
"R5",188.100000,-117.100000,top,0.000000
"R6",188.000000,-119.000000,top,90.000000
"R7",196.500000,-127.000000,top,0.000000
"R8",205.400000,-125.500000,top,180.000000
"U1",172.250000,-124.500000,top,90.000000
"U2",171.400000,-116.250000,top,-90.000000
"U3",183.837500,-123.750000,top,90.000000
"U4",199.855000,-126.275000,top,180.000000
"Y1",198.000000,-119.600000,top,0.000000
